%eval_id                 interface                A1                       Width                    A2                       footStepCount            personOnTrain            personOnStation          time                     
72                       NO_ID                    40                       1.2                      20.02                    24                       900                      50                       2.11817325800377         
73                       NO_ID                    40                       1.2                      20                       24.024                   900                      50                       2.11817325800377         
74                       NO_ID                    40                       1.2                      20                       24                       900.9                    50                       2.11935028248588         
75                       NO_ID                    40                       1.2                      20                       24                       900                      50.05                    2.11817325800377         
76                       NO_ID                    39.84                    1.2                      20                       24                       900                      50                       2.11817325800377         
77                       NO_ID                    39.68                    1.2                      20                       24                       900                      50                       2.11817325800377         
78                       NO_ID                    40                       1.2048                   20                       24                       900                      50                       2.11805955703186         
79                       NO_ID                    40                       1.2096                   20                       24                       900                      50                       2.11794587918088         
80                       NO_ID                    39.84                    1.2048                   20                       24                       900                      50                       2.11805955703186         
81                       NO_ID                    40                       1.2                      20.08                    24                       900                      50                       2.11817325800377         
82                       NO_ID                    40                       1.2                      20.16                    24                       900                      50                       2.11817325800377         
83                       NO_ID                    39.84                    1.2                      20.08                    24                       900                      50                       2.11817325800377         
84                       NO_ID                    40                       1.2048                   20.08                    24                       900                      50                       2.11805955703186         
85                       NO_ID                    40                       1.2                      20                       24.096                   900                      50                       2.11817325800377         
86                       NO_ID                    40                       1.2                      20                       23.904                   900                      50                       2.11817325800377         
87                       NO_ID                    39.84                    1.2                      20                       24.096                   900                      50                       2.11817325800377         
88                       NO_ID                    40                       1.2048                   20                       24.096                   900                      50                       2.11805955703186         
89                       NO_ID                    40                       1.2                      20.08                    24.096                   900                      50                       2.11817325800377         
90                       NO_ID                    40                       1.2                      20                       24                       903.6                    50                       2.1228813559322          
91                       NO_ID                    40                       1.2                      20                       24                       896.4                    50                       2.11346516007533         
92                       NO_ID                    39.84                    1.2                      20                       24                       903.6                    50                       2.1228813559322          
93                       NO_ID                    40                       1.2048                   20                       24                       903.6                    50                       2.12276717621937         
94                       NO_ID                    40                       1.2                      20.08                    24                       903.6                    50                       2.1228813559322          
95                       NO_ID                    40                       1.2                      20                       24.096                   903.6                    50                       2.1228813559322          
96                       NO_ID                    40                       1.2                      20                       24                       900                      50.2                     2.11817325800377         
97                       NO_ID                    40                       1.2                      20                       24                       900                      49.8                     2.11817325800377         
98                       NO_ID                    39.84                    1.2                      20                       24                       900                      50.2                     2.11817325800377         
99                       NO_ID                    40                       1.2048                   20                       24                       900                      50.2                     2.11805955703186         
100                      NO_ID                    40                       1.2                      20.08                    24                       900                      50.2                     2.11817325800377         
101                      NO_ID                    40                       1.2                      20                       24.096                   900                      50.2                     2.11817325800377         
102                      NO_ID                    40                       1.2                      20                       24                       903.6                    50.2                     2.1228813559322          
103                      NO_ID                    40                       3.3                      20                       24                       900                      50                       2.07054315979265         
104                      NO_ID                    39.96                    3.3                      20                       24                       900                      50                       2.07054315979265         
105                      NO_ID                    40                       3.2967                   20                       24                       900                      50                       2.07061482366523         
106                      NO_ID                    40                       3.3                      20.02                    24                       900                      50                       2.07054315979265         
